Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
141,88.61,191.60
142,85.91,180.43
143,90.86,174.45
144,80.13,200.82
145,84.15,160.02
146,88.69,192.42
147,94.89,223.83
148,87.01,193.91
149,82.66,185.65
150,78.85,152.64
151,76.38,164.92
152,80.62,192.00
153,80.65,163.41
154,82.00,195.12
155,82.96,175.08
156,85.22,203.44
157,80.64,187.07
158,75.60,173.22
159,73.59,155.29
160,72.91,161.02
161,80.10,183.38
162,79.42,192.69
163,67.63,151.47
164,77.33,158.69
165,81.77,173.88
166,80.38,164.19
167,81.56,188.44
168,83.82,175.41
169,89.62,196.58
170,83.62,192.20
171,78.37,195.84
172,85.74,192.66
173,77.40,190.10
174,88.87,175.79
175,85.26,185.08
176,81.86,174.43
177,74.24,158.39
178,92.58,186.28
179,90.00,189.47
180,92.27,203.24
181,83.57,185.52
182,82.76,181.86
183,94.88,199.84
184,83.29,174.64
185,74.96,160.28
186,88.07,209.06
187,87.15,173.72
188,88.03,172.92
189,77.77,149.42
190,76.49,181.31
191,80.28,163.06
192,83.51,170.50
193,80.88,174.50
194,89.90,183.65
195,88.91,180.07
196,76.88,160.14
197,88.56,177.15
198,82.26,180.01
199,86.48,174.85
200,89.47,192.92
201,77.59,193.10
202,85.56,182.68
203,91.12,197.60
204,84.12,188.56
205,79.65,174.52
206,81.08,177.44
207,78.65,165.97
208,79.40,165.50
209,79.48,178.90
210,80.07,163.05
211,82.07,181.66
212,77.16,172.27
213,86.40,188.56
214,76.03,160.00
215,79.60,186.48
216,77.05,163.61
217,83.29,183.97
218,80.65,156.53
219,78.70,159.10
220,84.49,163.60
221,88.89,193.36
222,92.38,188.65
223,86.71,187.17
224,90.59,196.88
225,92.07,190.53
226,74.85,161.84
227,86.10,164.94
228,96.20,205.83
229,81.93,183.95
230,85.05,177.31
231,74.00,168.21
232,90.33,194.60
233,84.47,170.45
234,74.88,177.63
235,91.48,200.43
236,85.20,185.37
237,78.06,182.87
238,79.95,165.66
239,90.33,214.39
240,85.54,197.69
241,90.42,186.87
242,82.11,191.75
243,82.57,187.56
244,89.09,204.81
245,88.64,180.59
246,87.18,203.62
247,88.17,189.88
248,87.77,183.99
249,86.65,208.38
250,90.03,191.90
251,84.73,184.79
252,84.82,199.67
253,92.90,226.17
254,88.56,184.26
255,78.19,183.85
256,77.31,169.80
257,86.17,193.47
258,83.70,179.45
259,95.49,194.54
260,89.75,207.43
261,84.17,192.75
262,80.07,173.36
263,84.07,166.53
264,84.23,187.41
265,82.67,151.92
266,80.37,174.16
267,84.13,191.73
268,75.64,161.88
269,84.66,179.97
270,81.91,165.39
271,75.56,170.73
272,85.79,145.07
273,82.37,153.33
274,80.74,152.15
275,81.81,180.28
276,85.76,170.60
277,82.91,170.83
278,79.40,160.07
279,76.76,145.30
280,78.39,140.45
281,85.71,177.71
282,91.10,183.78
283,81.87,185.83
284,77.42,198.11
285,79.46,175.37
286,85.16,186.34
287,75.12,168.43
288,88.30,180.63
289,85.95,202.65
290,78.06,175.77
291,84.88,190.80
292,82.60,211.02
293,89.98,210.09
294,80.21,178.51
295,91.95,214.32
296,90.48,197.06
297,82.96,194.54
298,86.54,218.87
299,90.41,214.32
