Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
0,38.15,57.16
1,54.32,75.42
2,59.87,83.14
3,55.48,93.67
4,67.49,112.49
5,68.87,109.14
6,58.58,102.65
7,75.21,128.15
8,68.68,132.68
9,67.49,128.71
10,60.58,127.41
11,69.79,136.18
12,67.31,123.20
13,69.88,136.37
14,77.03,151.02
15,74.50,133.92
16,78.30,132.74
17,68.73,123.52
18,65.27,116.05
19,67.68,120.16
20,61.96,123.25
21,62.61,123.20
22,64.87,119.82
23,75.06,136.39
24,71.49,128.71
25,61.72,103.49
26,68.84,124.38
27,79.78,154.57
28,83.96,145.03
29,71.00,127.20
30,78.36,151.04
31,70.48,120.04
32,66.63,115.39
33,74.18,125.30
34,69.23,133.72
35,62.80,114.40
36,76.35,130.91
37,76.68,136.98
38,73.45,132.42
39,68.18,130.06
40,61.74,111.16
41,83.30,163.52
42,73.36,136.15
43,67.95,140.51
44,79.30,173.08
45,59.12,111.51
46,58.89,116.31
47,61.15,104.87
48,73.76,136.34
49,78.57,147.40
50,70.39,119.87
51,71.45,150.62
52,71.58,149.71
53,74.19,144.39
54,72.15,130.83
55,73.39,142.27
56,69.64,128.77
57,69.06,125.83
58,72.32,126.43
59,79.91,155.54
60,80.75,155.17
61,70.30,129.15
62,77.37,136.48
63,77.40,139.46
64,75.17,140.92
65,74.71,131.09
66,67.83,127.94
67,75.92,143.95
68,74.68,137.38
69,75.82,151.06
70,75.40,148.07
71,78.91,140.60
72,77.39,141.22
73,75.73,148.45
74,72.93,145.95
75,80.28,161.53
76,80.33,145.34
77,81.85,154.45
78,80.58,164.90
79,74.56,147.18
80,82.50,163.81
81,74.04,148.36
82,77.60,151.88
83,91.15,186.39
84,83.12,155.86
85,89.02,183.07
86,85.03,179.09
87,78.65,162.34
88,86.38,194.65
89,82.69,170.83
90,96.23,194.86
91,80.94,202.69
92,83.01,175.59
93,83.99,162.92
94,92.62,171.64
95,84.80,180.60
96,88.78,181.81
97,83.90,166.17
98,84.35,175.73
99,90.44,169.75
100,89.04,178.02
101,86.83,165.12
102,79.07,161.83
103,86.02,169.85
104,77.91,156.74
105,83.96,156.85
106,76.47,162.07
107,80.49,172.47
108,84.74,171.38
109,83.24,177.95
110,86.60,174.90
111,83.39,176.18
112,85.96,186.28
113,83.16,165.25
114,96.92,195.37
115,75.44,147.60
116,81.88,162.77
117,82.65,164.07
118,78.71,158.31
119,75.18,156.86
120,78.52,158.66
121,94.70,177.25
122,92.79,187.04
123,88.68,181.39
124,80.61,159.84
125,88.23,179.37
126,90.53,199.95
127,83.32,181.88
128,86.41,205.68
129,88.93,209.58
130,91.23,197.55
131,92.83,200.67
132,81.77,188.45
133,90.33,193.85
134,80.85,181.14
135,75.92,172.30
136,86.35,173.58
137,79.50,161.00
138,89.47,183.80
139,85.91,171.52
140,80.76,183.46
