Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
0,38.15,57.16
1,54.29,76.77
2,65.03,106.37
3,66.45,105.16
4,67.81,116.98
5,64.73,120.32
6,61.76,107.42
7,63.81,117.22
8,70.08,130.86
9,78.67,131.18
10,71.47,127.97
11,80.67,141.16
12,71.56,138.70
13,65.34,123.34
14,74.95,144.40
15,73.78,143.12
16,75.04,137.31
17,69.06,130.16
18,77.36,136.12
19,68.34,138.59
20,72.95,134.14
21,72.82,146.31
22,65.31,138.68
23,80.49,153.75
24,79.04,150.99
25,68.92,136.14
26,83.05,163.98
27,73.17,136.84
28,77.51,143.85
29,70.15,134.88
30,73.96,147.93
31,60.85,124.47
32,71.28,139.85
33,79.58,150.06
34,75.19,146.83
35,82.19,161.53
36,71.77,139.78
37,79.52,149.25
38,72.52,149.23
39,70.47,156.29
40,77.18,149.79
41,79.85,166.33
42,75.34,153.46
43,76.92,146.93
44,78.38,151.65
45,79.33,157.27
46,79.55,141.95
47,86.20,186.17
48,80.88,161.76
49,75.06,159.43
50,83.68,168.97
51,76.14,151.60
52,84.16,169.74
53,69.25,147.14
54,82.19,167.90
55,77.19,160.08
56,87.43,164.86
57,86.32,166.90
58,80.48,156.30
59,82.17,175.10
60,90.38,192.01
61,82.49,170.25
62,96.69,188.60
63,83.68,177.12
64,87.09,181.07
65,90.34,199.44
66,88.44,185.82
67,76.00,141.81
68,81.29,145.60
69,87.49,166.15
70,80.64,146.03
71,74.34,152.19
72,90.22,173.57
73,83.08,169.57
74,94.51,201.39
75,88.92,192.26
76,84.50,168.24
77,85.67,159.47
78,94.27,203.63
79,80.70,165.34
80,84.06,171.27
81,88.45,183.45
82,89.38,195.76
83,81.07,173.09
84,89.21,193.13
85,89.28,180.74
86,96.50,194.02
87,81.98,176.54
88,85.84,176.32
89,93.39,199.71
90,79.98,168.19
91,80.39,152.69
92,82.34,174.64
93,84.76,168.59
94,85.78,176.20
95,79.92,154.77
96,86.45,177.54
97,86.66,153.22
98,82.91,158.32
99,82.72,167.42
100,89.95,166.95
101,81.79,171.90
102,80.45,166.80
103,87.48,188.08
104,89.49,176.13
105,97.99,206.37
106,81.31,176.82
107,89.30,182.82
108,81.54,155.65
109,83.93,163.74
110,87.81,179.12
111,94.11,189.73
112,75.46,153.28
113,80.83,148.14
114,85.11,164.91
115,89.35,167.57
116,90.26,192.75
117,87.71,165.43
118,87.72,167.59
119,83.53,162.56
120,82.52,161.51
121,87.19,189.84
122,90.80,174.16
123,89.90,168.48
124,86.61,171.19
125,82.84,157.61
126,89.76,183.76
127,92.69,179.21
128,87.43,169.09
129,87.74,180.20
130,93.03,182.13
131,92.99,187.07
132,88.31,189.19
133,90.91,169.81
134,87.37,174.95
135,76.15,137.62
136,97.55,183.78
137,85.41,161.50
138,84.76,159.10
139,84.09,161.46
140,85.83,169.37
141,94.80,209.03
142,85.94,178.92
143,90.13,193.37
144,90.86,166.42
145,80.65,153.25
146,79.85,159.22
147,79.24,144.81
148,84.22,190.50
149,89.22,163.86
150,85.14,159.76
151,84.24,134.89
152,91.68,183.11
153,98.37,187.57
154,83.34,163.02
155,90.28,165.96
156,80.99,151.93
157,84.66,167.39
158,73.69,157.52
159,78.23,162.56
160,74.11,156.26
161,84.26,170.21
162,83.65,163.68
163,84.79,169.62
164,80.85,151.49
165,84.54,145.06
166,83.21,153.94
167,81.36,143.82
168,84.08,160.95
169,83.93,167.91
170,88.26,178.03
171,85.89,158.36
172,75.40,147.35
173,90.54,160.55
174,91.84,158.09
175,85.87,150.46
176,82.31,147.98
177,84.25,157.11
178,89.03,178.52
179,68.56,140.81
180,78.95,145.53
181,81.77,156.56
182,80.32,158.19
183,83.04,155.97
184,86.48,164.53
185,93.91,172.63
186,78.95,162.81
187,80.14,155.49
188,75.38,135.77
189,79.31,143.65
190,89.75,168.79
191,88.96,170.01
192,77.14,147.00
193,85.90,180.04
194,78.13,159.90
195,77.14,157.38
196,85.18,167.40
197,89.88,158.01
198,84.58,168.89
199,88.35,158.30
200,86.75,152.48
201,86.34,175.34
202,84.64,166.62
203,89.44,186.89
204,82.63,147.91
205,85.13,167.11
206,95.16,186.27
207,84.82,158.13
208,84.76,153.84
209,86.79,154.80
210,87.94,193.51
211,87.66,193.66
212,82.77,160.33
213,87.41,173.51
214,91.29,168.47
215,81.06,171.50
216,78.95,149.68
217,79.36,160.67
218,79.17,160.70
219,83.33,159.65
220,87.19,169.49
221,83.66,164.14
222,83.75,166.24
223,88.88,173.03
224,80.01,162.79
225,94.72,190.54
226,89.08,167.34
227,82.65,173.66
228,86.70,160.33
229,94.68,191.87
230,86.92,183.52
231,87.83,187.78
232,92.62,183.10
233,89.75,183.94
234,87.09,184.67
235,81.56,171.47
236,87.31,170.82
237,85.28,159.74
238,79.37,162.22
239,83.96,150.49
240,75.08,148.88
241,81.91,162.94
242,84.08,171.99
243,86.41,152.82
244,84.13,163.32
245,88.44,168.37
246,78.54,173.56
247,90.13,193.47
248,77.17,146.52
249,79.64,158.71
250,92.34,172.80
251,89.89,192.90
252,81.63,162.17
253,89.86,192.37
254,94.05,190.97
255,93.11,182.92
256,88.33,163.29
257,92.26,188.69
258,93.35,181.90
259,90.25,173.72
260,75.41,145.44
261,85.37,162.95
262,81.03,158.70
263,85.71,164.50
264,91.63,180.24
265,93.14,182.61
266,83.45,180.51
267,86.86,172.20
268,86.68,174.70
269,87.21,181.65
270,85.92,179.66
271,89.41,189.41
272,91.05,160.34
273,80.70,147.65
274,88.62,173.21
275,89.00,156.15
276,83.66,158.97
277,83.96,162.83
278,79.96,157.06
279,87.89,192.05
280,87.42,180.32
281,88.71,189.12
282,84.48,169.92
283,84.16,173.14
284,83.89,175.41
285,82.27,170.15
286,92.02,175.36
287,77.14,180.71
288,92.59,158.32
289,83.05,170.27
290,83.36,169.21
291,83.18,179.99
292,81.12,177.58
293,90.38,177.16
294,86.37,179.28
295,86.26,173.33
296,75.73,152.59
297,90.70,191.18
298,81.01,156.24
299,77.44,160.29
