Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
161,79.77,146.58
162,85.35,152.41
163,72.86,147.12
164,88.17,156.19
165,79.26,147.50
166,83.52,156.00
167,86.40,160.93
168,90.48,189.43
169,86.30,157.07
170,88.17,174.71
171,84.66,178.70
172,86.55,160.96
173,92.11,177.30
174,97.43,169.27
175,79.84,156.00
176,74.35,143.81
177,89.99,150.17
178,71.97,138.47
179,71.37,140.08
180,74.35,142.31
181,83.58,181.48
182,75.43,132.61
183,75.01,141.59
184,76.03,168.28
185,96.80,179.28
186,75.52,153.55
187,57.20,126.05
188,71.76,165.73
189,78.65,138.04
190,76.87,125.72
191,76.93,153.16
192,97.39,191.41
193,82.28,142.22
194,82.23,153.24
195,95.21,166.06
196,76.37,152.99
197,75.09,151.06
198,69.02,139.62
199,72.35,147.77
200,80.68,158.94
201,79.45,184.74
202,90.24,148.43
203,82.51,151.95
204,87.98,141.67
205,76.30,148.03
206,72.95,128.57
207,69.77,121.68
208,84.46,158.78
209,72.42,148.68
210,74.52,139.17
211,71.30,143.86
212,88.12,164.27
213,87.91,171.09
214,71.71,139.67
215,95.42,188.31
216,67.03,117.54
217,90.19,157.83
218,90.76,179.69
219,80.99,159.76
220,64.32,133.73
221,80.35,148.28
222,71.84,143.79
223,80.55,172.25
224,86.48,154.08
225,102.57,195.13
226,84.50,139.12
227,78.82,161.69
228,77.29,164.79
229,87.20,172.06
230,82.95,150.22
231,75.74,138.43
232,92.78,177.18
233,76.44,142.79
234,87.28,161.14
235,87.72,163.93
236,85.32,144.39
237,86.10,167.87
238,89.64,185.06
239,85.31,172.49
240,87.67,150.57
241,80.01,145.28
242,83.51,158.13
243,96.20,180.46
244,77.63,154.98
245,83.22,154.11
246,86.06,183.51
247,96.50,184.89
248,95.20,172.51
249,80.18,152.99
250,69.73,115.28
251,67.58,123.59
252,88.64,141.67
253,85.07,165.11
254,92.53,150.92
255,76.56,153.79
256,80.72,170.50
257,76.37,154.79
258,95.30,158.15
259,99.67,162.49
260,80.36,145.69
261,78.64,148.86
262,79.67,158.22
263,89.63,160.78
264,91.81,174.99
265,89.52,167.24
266,93.53,149.42
267,83.61,167.27
268,79.36,161.06
269,84.49,175.15
270,81.83,174.22
271,99.48,180.18
272,78.75,147.33
273,88.34,149.74
274,84.67,168.98
275,78.38,143.64
276,83.88,154.95
277,73.74,130.25
278,80.97,144.97
279,76.12,138.60
280,81.16,150.34
281,73.69,155.91
282,77.06,142.04
283,69.51,128.15
284,73.72,121.37
285,75.90,135.56
286,68.45,143.76
287,67.10,140.09
288,65.79,132.11
289,67.68,127.60
290,71.19,132.28
291,68.80,104.30
292,54.15,108.14
293,70.48,144.94
294,74.55,162.04
295,66.42,123.26
296,74.59,152.23
297,88.08,158.39
298,80.38,146.96
299,82.10,145.16
