Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
0,39.14,64.83
1,56.04,68.29
2,68.10,91.69
3,56.38,94.94
4,73.50,133.59
5,59.84,89.51
6,58.74,117.34
7,74.54,140.49
8,74.24,133.76
9,64.63,122.79
10,61.60,122.16
11,71.54,130.69
12,54.43,110.22
13,61.73,128.35
14,63.37,131.36
15,60.76,104.79
16,53.56,87.47
17,62.18,117.29
18,80.70,177.44
19,62.08,128.87
20,71.05,141.46
21,67.81,124.89
22,70.00,121.05
23,83.64,153.83
24,77.79,135.70
25,76.03,142.96
26,79.95,171.17
27,67.27,105.73
28,65.70,122.84
29,76.10,128.05
30,81.89,170.86
31,84.55,155.46
32,84.18,166.93
33,75.24,163.19
34,71.87,132.27
35,63.04,105.26
36,65.35,139.99
37,76.95,151.82
38,63.38,139.31
39,87.14,159.02
40,71.88,121.42
41,74.09,159.21
42,77.21,155.93
43,70.60,131.97
44,68.28,145.86
45,73.61,137.29
46,73.77,126.95
47,69.09,138.14
48,66.46,127.67
49,84.67,148.07
50,55.31,119.15
51,75.25,152.01
52,67.88,143.89
53,77.29,157.08
54,67.80,133.09
55,77.50,144.91
56,65.42,147.44
57,73.72,124.66
58,78.25,162.71
59,71.70,121.55
60,70.21,133.65
61,62.24,131.83
62,69.16,118.96
63,72.80,136.34
64,62.55,124.91
65,73.36,131.68
66,77.60,129.68
67,69.13,139.54
68,74.53,134.38
69,83.68,130.21
70,70.92,153.75
71,65.57,120.62
72,75.21,133.10
73,76.50,122.62
74,80.68,160.91
75,91.40,175.29
76,68.73,128.27
77,71.47,151.81
78,82.01,149.51
79,69.27,129.59
80,61.50,113.47
81,74.50,158.53
82,62.30,141.41
83,70.13,121.04
84,67.62,151.90
85,74.09,134.05
86,63.75,121.01
87,60.29,114.78
88,82.90,167.78
89,71.95,156.73
90,83.24,147.00
91,74.32,156.30
92,77.80,143.12
93,70.35,129.89
94,81.43,161.38
95,65.08,122.82
96,87.37,150.32
97,74.22,137.71
98,88.61,164.64
99,87.27,147.67
100,63.44,143.33
101,94.02,180.15
102,96.24,187.21
103,79.23,167.65
104,73.52,168.89
105,77.96,137.17
106,86.65,166.60
107,78.39,144.07
108,88.84,164.24
109,77.75,133.54
110,85.96,148.15
111,71.79,150.67
112,73.18,144.10
113,80.70,168.51
114,79.02,149.37
115,78.43,142.58
116,77.01,141.40
117,82.98,159.25
118,83.88,154.47
119,78.58,142.54
120,80.54,140.90
121,92.16,168.15
122,71.62,148.27
123,65.25,115.65
124,74.92,168.54
125,65.09,128.64
126,81.32,179.42
127,67.58,140.60
128,89.47,158.44
129,91.22,168.34
130,87.95,158.06
131,85.09,152.07
132,94.78,171.95
133,89.93,166.60
134,103.12,186.15
135,84.66,157.81
136,77.25,149.98
137,78.05,138.77
138,81.09,167.61
139,85.38,143.94
140,99.85,187.52
141,92.31,158.41
142,83.90,143.69
143,68.95,128.70
144,86.23,144.19
145,77.45,145.18
146,80.14,134.16
147,94.05,183.87
148,82.90,158.65
149,85.45,147.88
150,86.41,161.38
151,84.79,173.48
152,80.09,154.14
153,77.76,140.99
154,90.40,170.53
155,84.54,161.98
156,95.44,184.58
157,75.18,137.55
158,80.34,166.02
159,68.81,137.71
160,73.84,159.30
