Generation,Avg_Internal_Score_Per_Match,Avg_External_Score_Per_Match
0,41.62,46.62
1,57.99,50.17
2,71.89,86.57
3,73.17,79.57
4,56.22,103.45
5,41.90,126.63
6,42.40,117.00
7,43.40,133.39
8,71.22,116.30
9,74.88,138.42
10,67.16,120.75
11,52.42,117.66
12,48.08,109.95
13,43.90,117.49
14,77.15,113.82
